epoch,accuracy,loss,val_accuracy,val_loss
0,0.43069055676460266,1.3336385488510132,0.6502237319946289,0.8476331233978271
1,0.6913991570472717,0.7146012187004089,0.7034174203872681,0.7120465040206909
2,0.7300689220428467,0.6281071305274963,0.7284886240959167,0.6529697179794312
3,0.7472988367080688,0.5895457863807678,0.7402359843254089,0.6569700241088867
4,0.7580978870391846,0.5677973031997681,0.7526952624320984,0.6175179481506348
5,0.7636810541152954,0.5538695454597473,0.7550854086875916,0.6315603256225586
6,0.770513117313385,0.5389032363891602,0.7597131729125977,0.5980344414710999
7,0.7753673195838928,0.5317749381065369,0.768714427947998,0.5719375610351562
8,0.7784640789031982,0.5219780206680298,0.7730878591537476,0.6104041337966919
9,0.78487229347229,0.5105248689651489,0.7568653225898743,0.6130667924880981
10,0.7879181504249573,0.5056989192962646,0.7458299398422241,0.6352909207344055
11,0.7906532287597656,0.49739477038383484,0.7711554169654846,0.589593768119812
12,0.7941116690635681,0.48835110664367676,0.768714427947998,0.6112031936645508
13,0.7984346747398376,0.4806676506996155,0.7739524245262146,0.5965295433998108
14,0.7997965812683105,0.47863510251045227,0.7726810574531555,0.5871912240982056
15,0.8032097816467285,0.47199809551239014,0.7729353308677673,0.6206654906272888
16,0.8035488128662109,0.46949416399002075,0.7696806192398071,0.6028838753700256
17,0.8066738247871399,0.46223321557044983,0.7725284695625305,0.6097158789634705
18,0.8086346983909607,0.4572765827178955,0.7703417539596558,0.6062725782394409
19,0.827164351940155,0.41549164056777954,0.7831062078475952,0.6155985593795776
20,0.8340755105018616,0.4039851725101471,0.7790378332138062,0.6092426776885986
21,0.8344936966896057,0.39945974946022034,0.7809194326400757,0.6563942432403564
22,0.8386132717132568,0.3902886211872101,0.7793937921524048,0.6430166363716125
23,0.8433035612106323,0.38022351264953613,0.7802075147628784,0.581131100654602
24,0.8442416191101074,0.3776586055755615,0.7765460014343262,0.6288889646530151
25,0.8634324073791504,0.3375166058540344,0.7805126309394836,0.6920826435089111
26,0.8692246675491333,0.3245868682861328,0.7779190540313721,0.6901326775550842
27,0.8731634020805359,0.31594961881637573,0.7777156233787537,0.8240874409675598
28,0.877876341342926,0.30600911378860474,0.7753254771232605,0.9053172469139099
29,0.8818377256393433,0.29712966084480286,0.77471524477005,0.8350274562835693
30,0.899231493473053,0.2577308714389801,0.7746134996414185,0.9092817902565002
31,0.904390811920166,0.24524718523025513,0.7749186158180237,1.0538846254348755
32,0.9106295108795166,0.23005783557891846,0.7747660875320435,0.9824421405792236
33,0.9138562679290771,0.22292599081993103,0.7723250389099121,1.140289545059204
34,0.9168399572372437,0.21468673646450043,0.77471524477005,1.0937117338180542
35,0.9331769943237305,0.17872822284698486,0.771206259727478,1.2194033861160278
36,0.9393817782402039,0.1621166467666626,0.7713079452514648,1.5228149890899658
37,0.9438460469245911,0.15208293497562408,0.7701383233070374,1.56440007686615
38,0.9468637108802795,0.14500395953655243,0.7698332071304321,1.6780389547348022
39,0.9497004747390747,0.1370135098695755,0.7707485556602478,1.6740522384643555
