epoch,accuracy,loss,val_accuracy,val_loss
0,0.12515079975128174,2.0795047283172607,0.125,2.0794410705566406
1,0.125,2.0794589519500732,0.125,2.0794410705566406
2,0.125,2.0794589519500732,0.125,2.0794410705566406
3,0.125,2.0794589519500732,0.125,2.0794410705566406
4,0.125,2.0794589519500732,0.125,2.0794410705566406
5,0.125,2.0794589519500732,0.125,2.0794410705566406
6,0.125,2.0794589519500732,0.125,2.0794410705566406
7,0.125,2.0794589519500732,0.125,2.0794410705566406
8,0.125,2.0794589519500732,0.125,2.0794410705566406
9,0.125,2.0794589519500732,0.125,2.0794410705566406
10,0.125,2.0794589519500732,0.125,2.0794410705566406
11,0.125,2.0794589519500732,0.125,2.0794410705566406
12,0.125,2.0794589519500732,0.125,2.0794410705566406
13,0.125,2.0794589519500732,0.125,2.0794410705566406
14,0.125,2.0794589519500732,0.125,2.0794410705566406
15,0.125,2.0794589519500732,0.125,2.0794410705566406
16,0.125,2.0794589519500732,0.125,2.0794410705566406
17,0.125,2.0794589519500732,0.125,2.0794410705566406
18,0.125,2.0794589519500732,0.125,2.0794410705566406
19,0.125,2.0794589519500732,0.125,2.0794410705566406
20,0.125,2.0794589519500732,0.125,2.0794410705566406
21,0.125,2.0794589519500732,0.125,2.0794410705566406
22,0.125,2.0794589519500732,0.125,2.0794410705566406
23,0.125,2.0794589519500732,0.125,2.0794410705566406
24,0.125,2.0794589519500732,0.125,2.0794410705566406
25,0.125,2.0794589519500732,0.125,2.0794410705566406
26,0.125,2.0794589519500732,0.125,2.0794410705566406
