config_id,row_index,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
K15,12,9,14,21,29,38,45,50,52,50,45,38,29,21,14,9
K15,13,6,9,14,20,25,30,34,35,34,30,25,20,14,9,6
K15,14,3,6,9,12,16,19,21,22,21,19,16,12,9,6,3
K16,0,32,64,32,,,,,,,,,,,,
K16,1,64,128,64,,,,,,,,,,,,
K16,2,32,64,32,,,,,,,,,,,,
K17,0,8,16,32,16,8,,,,,,,,,,
K17,1,16,32,64,32,16,,,,,,,,,,
K17,2,32,64,128,64,32,,,,,,,,,,
K17,3,16,32,64,32,16,,,,,,,,,,
K17,4,8,16,32,16,8,,,,,,,,,,
K18,0,2,4,8,16,8,4,2,,,,,,,,
K18,1,4,8,16,32,16,8,4,,,,,,,,
K18,2,8,16,32,64,32,16,8,,,,,,,,
K18,3,16,32,64,128,64,32,16,,,,,,,,
K18,4,8,16,32,64,32,16,8,,,,,,,,
K18,5,4,8,16,32,16,8,4,,,,,,,,
K18,6,2,4,8,16,8,4,2,,,,,,,,
K19,0,0,0,0,1,2,4,2,1,0,0,0,,,,
K19,1,0,0,1,2,4,8,4,2,1,0,0,,,,
K19,2,0,1,2,4,8,16,8,4,2,1,0,,,,
K19,3,1,2,4,8,16,32,16,8,4,2,1,,,,
K19,4,2,4,8,16,32,64,32,16,8,4,2,,,,
K19,5,4,8,16,32,64,128,64,32,16,8,4,,,,
K19,6,2,4,8,16,32,64,32,16,8,4,2,,,,
K19,7,1,2,4,8,16,32,16,8,4,2,1,,,,
K19,8,0,1,2,4,8,16,8,4,2,1,0,,,,
K19,9,0,0,1,2,4,8,4,2,1,0,0,,,,
K19,10,0,0,0,1,2,4,2,1,0,0,0,,,,
K20,0,0,128,0,,,,,,,,,,,,
K20,1,128,256,128,,,,,,,,,,,,
K20,2,0,128,0,,,,,,,,,,,,
K21,0,0,0,128,0,0,,,,,,,,,,
K21,1,0,0,128,0,0,,,,,,,,,,
K21,2,128,128,256,128,128,,,,,,,,,,
K21,3,0,0,128,0,0,,,,,,,,,,
K21,4,0,0,128,0,0,,,,,,,,,,
K22,0,0,0,0,128,0,0,0,,,,,,,,
K22,1,0,0,0,128,0,0,0,,,,,,,,
K22,2,0,0,0,128,0,0,0,,,,,,,,
K22,3,128,128,128,256,128,128,128,,,,,,,,
K22,4,0,0,0,128,0,0,0,,,,,,,,
K22,5,0,0,0,128,0,0,0,,,,,,,,
K22,6,0,0,0,128,0,0,0,,,,,,,,
K23,0,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,1,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,2,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,3,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,4,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,5,128,128,128,128,128,256,128,128,128,128,128,,,,
K23,6,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,7,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,8,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,9,0,0,0,0,0,128,0,0,0,0,0,,,,
K23,10,0,0,0,0,0,128,0,0,0,0,0,,,,
